iter	Passed	Remaining
872	3233	270
873	3237	266
874	3240	262
875	3245	259
876	3249	255
877	3252	251
878	3256	248
879	3259	244
880	3263	240
881	3267	237
882	3270	233
883	3274	229
884	3278	225
885	3282	222
886	3285	218
887	3289	214
888	3292	211
889	3296	207
890	3299	203
891	3303	199
892	3307	196
893	3310	192
894	3316	188
895	3319	185
896	3323	181
897	3327	177
898	3333	174
899	3336	170
900	3340	166
901	3344	163
902	3347	159
903	3352	155
904	3355	152
905	3358	148
906	3362	144
907	3366	140
908	3371	137
909	3374	133
910	3377	129
911	3381	126
912	3385	122
913	3388	118
914	3392	114
915	3395	111
916	3399	107
917	3403	103
918	3407	100
919	3411	96
920	3414	92
921	3418	88
922	3423	85
923	3427	81
924	3431	77
925	3435	74
926	3438	70
927	3441	66
928	3445	63
929	3449	59
930	3453	55
931	3456	51
932	3460	48
933	3463	44
934	3467	40
935	3470	37
936	3474	33
937	3479	29
938	3482	25
939	3486	22
940	3490	18
941	3493	14
942	3497	11
943	3502	7
944	3505	3
945	3509	0
